DATE;Heure;ana1
31-08-2024;10:11:43;25.68
31-08-2024;10:44:07;25.59
31-08-2024;11:16:30;25.59
31-08-2024;11:48:55;26.53
31-08-2024;12:21:19;27.28
31-08-2024;12:53:44;27.66
31-08-2024;13:26:09;27.75
31-08-2024;13:58:35;27.84
31-08-2024;14:31:02;28.32
31-08-2024;15:03:28;28.60
31-08-2024;15:35:54;28.60
31-08-2024;16:08:20;28.41
31-08-2024;16:40:46;28.51
31-08-2024;17:13:12;28.60
31-08-2024;17:45:40;28.41
31-08-2024;18:18:05;27.94
31-08-2024;18:50:31;27.84
31-08-2024;19:22:57;28.13
31-08-2024;19:55:23;27.84
31-08-2024;20:27:49;27.37
31-08-2024;21:00:14;27.09
31-08-2024;21:32:39;27.09
31-08-2024;22:05:04;27.00
31-08-2024;22:37:28;27.00
31-08-2024;23:09:54;26.90
31-08-2024;23:42:19;26.71
01-09-2024;00:14:43;26.71
01-09-2024;00:47:08;26.62
01-09-2024;01:19:32;26.53
01-09-2024;01:51:57;26.43
01-09-2024;02:24:21;26.34
01-09-2024;02:56:45;26.15
01-09-2024;03:29:09;25.96
01-09-2024;04:01:33;25.87
01-09-2024;04:33:57;25.78
01-09-2024;05:06:21;25.68
01-09-2024;05:38:45;25.59
01-09-2024;06:11:08;25.40
01-09-2024;06:43:31;25.31
01-09-2024;07:15:54;25.22
01-09-2024;07:48:18;25.12
01-09-2024;08:20:41;25.03
01-09-2024;08:53:04;25.03
01-09-2024;09:25:27;24.94
01-09-2024;09:57:50;24.75
01-09-2024;10:30:13;24.57
01-09-2024;11:34:58;24.29
01-09-2024;12:07:20;24.38
01-09-2024;12:39:42;24.47
01-09-2024;13:12:05;24.75
01-09-2024;13:44:29;24.84
01-09-2024;14:16:51;24.94
01-09-2024;14:49:14;25.22
01-09-2024;15:21:37;25.40
01-09-2024;15:54:00;25.50
01-09-2024;16:26:25;25.68
01-09-2024;16:58:48;25.50
01-09-2024;17:31:11;25.50
01-09-2024;18:03:35;25.68
01-09-2024;18:35:58;25.31
01-09-2024;19:08:21;25.03
01-09-2024;19:40:45;24.94
01-09-2024;20:13:07;24.66
01-09-2024;20:45:29;24.38
01-09-2024;21:17:52;24.29
01-09-2024;21:50:14;24.29
01-09-2024;22:22:37;24.19
01-09-2024;22:54:59;24.10
01-09-2024;23:27:20;24.01
01-09-2024;23:59:42;24.01
02-09-2024;00:32:04;23.82
02-09-2024;01:04:25;23.73
02-09-2024;01:36:48;23.64
02-09-2024;02:09:09;23.45
02-09-2024;02:41:31;23.36
02-09-2024;03:13:52;23.27
02-09-2024;03:46:13;23.18
02-09-2024;04:18:34;23.08
02-09-2024;04:50:56;22.99
