DATE;Heure;temp_int;temp_consigne;puissance;mode
21-11-2016;05:55:01;20.6;20.5;0;1
21-11-2016;06:00:01;20.5;20.5;0;1
21-11-2016;06:05:01;20.5;20.5;0;1
21-11-2016;06:10:01;20.5;20.5;0;1
21-11-2016;06:15:01;20.5;20.5;0;1
21-11-2016;06:20:01;20.5;20.5;0;1
21-11-2016;06:25:01;20.5;20.5;0;1
21-11-2016;06:30:01;20.5;0.0;0;1
21-11-2016;06:35:01;20.4;0.0;0;1
21-11-2016;06:40:01;20.4;0.0;0;1
21-11-2016;06:45:01;20.4;0.0;0;1
21-11-2016;06:50:01;20.4;0.0;0;1
21-11-2016;06:55:01;20.4;0.0;0;1
21-11-2016;07:00:02;20.4;0.0;0;1
21-11-2016;07:05:02;20.4;0.0;0;1
21-11-2016;07:10:01;20.4;0.0;0;1
21-11-2016;07:15:01;20.4;0.0;0;1
21-11-2016;07:20:01;20.3;0.0;0;1
21-11-2016;07:25:01;20.3;0.0;0;1
21-11-2016;07:30:01;20.3;0.0;0;1
21-11-2016;07:35:01;20.3;0.0;0;1
21-11-2016;07:40:01;20.3;0.0;0;1
21-11-2016;07:45:01;20.2;0.0;0;1
21-11-2016;07:50:01;20.2;0.0;0;1
21-11-2016;07:55:01;20.2;0.0;0;1
21-11-2016;08:00:01;20.2;0.0;0;1
21-11-2016;08:05:01;20.2;0.0;0;1
21-11-2016;08:10:01;20.2;0.0;0;1
21-11-2016;08:15:01;20.2;0.0;0;1
21-11-2016;08:20:01;20.2;0.0;0;1
21-11-2016;08:25:01;20.2;0.0;0;1
21-11-2016;08:30:01;20.1;0.0;0;1
21-11-2016;08:35:01;20.1;0.0;0;1
21-11-2016;08:40:01;20.1;0.0;0;1
21-11-2016;08:45:01;20.1;0.0;0;1
21-11-2016;08:50:01;20.1;0.0;0;1
21-11-2016;08:55:01;20.1;0.0;0;1
21-11-2016;09:00:01;20.1;0.0;0;1
21-11-2016;09:05:01;20.0;0.0;0;1
21-11-2016;09:10:01;20.0;0.0;0;1
21-11-2016;09:15:01;20.0;0.0;0;1
21-11-2016;09:20:01;20.0;0.0;0;1
21-11-2016;09:25:01;20.0;0.0;0;1
21-11-2016;09:30:01;20.0;0.0;0;1
21-11-2016;09:35:01;19.9;0.0;0;1
21-11-2016;09:40:01;19.9;0.0;0;1
21-11-2016;09:45:01;19.9;0.0;0;1
21-11-2016;09:50:01;19.9;0.0;0;1
21-11-2016;09:55:01;19.9;0.0;0;1
21-11-2016;10:00:01;19.9;0.0;0;1
21-11-2016;10:05:01;19.9;0.0;0;1
21-11-2016;10:10:01;19.9;0.0;0;1
21-11-2016;10:15:01;19.9;0.0;0;1
21-11-2016;10:20:02;19.9;0.0;0;1
21-11-2016;10:25:01;19.9;0.0;0;1
21-11-2016;10:30:01;19.9;0.0;0;1
21-11-2016;10:35:01;19.9;0.0;0;1
21-11-2016;10:40:02;19.9;0.0;0;1
21-11-2016;10:45:01;19.9;0.0;0;1
21-11-2016;10:50:01;19.9;0.0;0;1
21-11-2016;10:55:01;19.9;0.0;0;1
21-11-2016;11:00:02;19.9;0.0;0;1
21-11-2016;11:05:01;19.8;0.0;0;1
21-11-2016;11:10:01;19.8;0.0;0;1
21-11-2016;11:15:02;19.8;0.0;0;1
21-11-2016;11:20:01;19.8;0.0;0;1
21-11-2016;11:25:01;19.8;0.0;0;1
21-11-2016;11:30:01;19.8;0.0;0;1
21-11-2016;11:35:01;19.8;0.0;0;1
21-11-2016;11:40:01;19.8;0.0;0;1
21-11-2016;11:45:01;19.8;0.0;0;1
21-11-2016;11:50:01;19.8;0.0;0;1
21-11-2016;11:55:01;19.8;0.0;0;1
21-11-2016;12:00:02;19.8;0.0;0;1
21-11-2016;12:05:01;19.8;0.0;0;1
21-11-2016;12:10:01;19.8;0.0;0;1
21-11-2016;12:15:01;19.7;0.0;0;1
21-11-2016;12:20:01;19.7;0.0;0;1
21-11-2016;12:25:01;19.7;0.0;0;1
21-11-2016;12:30:02;19.7;0.0;0;1
21-11-2016;12:35:01;19.7;0.0;0;1
21-11-2016;12:40:01;19.7;0.0;0;1
21-11-2016;12:45:01;19.7;0.0;0;1
21-11-2016;12:50:01;19.8;0.0;0;1
21-11-2016;12:55:01;19.7;0.0;0;1
21-11-2016;13:00:01;19.7;0.0;0;1
21-11-2016;13:05:01;19.7;0.0;0;1
21-11-2016;13:10:02;19.7;0.0;0;1
21-11-2016;13:15:01;19.8;0.0;0;1
21-11-2016;13:20:01;19.8;0.0;0;1
21-11-2016;13:25:01;19.7;0.0;0;1
21-11-2016;13:30:01;19.7;0.0;0;1
21-11-2016;13:35:01;19.7;0.0;0;1
21-11-2016;13:40:01;19.8;0.0;0;1
21-11-2016;13:45:01;19.8;0.0;0;1
21-11-2016;13:50:01;19.8;0.0;0;1
