DATE;Heure;ana1 * 445.254
01-05-2013;06:32:22;0.000
01-05-2013;07:00:13;0.000
01-05-2013;08:01:28;13.358
01-05-2013;09:02:42;84.598
01-05-2013;10:03:58;320.583
01-05-2013;11:05:16;525.400
01-05-2013;12:12:09;342.846
01-05-2013;13:02:20;311.678
01-05-2013;13:19:04;1300.142
01-05-2013;14:14:52;939.486
01-05-2013;15:05:06;1135.398
01-05-2013;16:06:33;890.508
01-05-2013;17:02:25;810.362
01-05-2013;18:09:24;690.144
01-05-2013;19:16:25;22.263
01-05-2013;20:12:14;31.168
01-05-2013;20:51:15;0.000
01-05-2013;21:19:08;0.000
01-05-2013;22:20:28;0.000
01-05-2013;23:05:04;0.000
02-05-2013;00:00:47;0.000
02-05-2013;01:07:38;0.000
02-05-2013;02:03:20;0.000
02-05-2013;03:10:09;0.000
02-05-2013;04:16:57;0.000
02-05-2013;05:01:30;0.000
02-05-2013;06:36:10;0.000
02-05-2013;07:15:07;0.000
02-05-2013;08:05:15;13.358
02-05-2013;09:39:55;160.291
02-05-2013;10:07:46;178.102
02-05-2013;11:03:29;213.722
02-05-2013;12:04:48;405.181
02-05-2013;13:11:43;369.561
02-05-2013;14:18:39;191.459
02-05-2013;15:03:15;454.159
02-05-2013;15:25:34;1064.157
02-05-2013;16:38:07;752.479
02-05-2013;17:39:31;814.815
02-05-2013;18:13:01;440.801
02-05-2013;19:03:14;231.532
02-05-2013;20:15:44;124.671
02-05-2013;21:17:03;8.905
02-05-2013;21:39:20;0.000
02-05-2013;22:07:12;0.000
02-05-2013;23:41:53;0.000
03-05-2013;00:20:52;0.000
03-05-2013;01:05:26;0.000
03-05-2013;02:01:08;0.000
03-05-2013;03:02:25;0.000
03-05-2013;04:09:15;0.000
03-05-2013;05:04:57;0.000
03-05-2013;06:11:48;0.000
03-05-2013;07:01:56;0.000
03-05-2013;08:36:37;93.503
03-05-2013;09:04:28;48.978
03-05-2013;10:16:54;53.430
03-05-2013;11:01:29;106.861
03-05-2013;12:08:20;227.080
03-05-2013;13:15:13;391.824
03-05-2013;14:05:24;587.735
03-05-2013;15:06:47;1282.332
03-05-2013;16:08:08;356.203
03-05-2013;17:03:55;975.106
03-05-2013;18:05:17;173.649
03-05-2013;19:12:11;62.336
03-05-2013;20:02:21;106.861
03-05-2013;20:58:06;0.000
03-05-2013;21:14:49;22.263
03-05-2013;22:04:59;0.000
03-05-2013;23:06:17;0.000
04-05-2013;00:13:10;0.000
04-05-2013;01:03:19;0.000
04-05-2013;02:15:43;0.000
04-05-2013;03:00:18;0.000
04-05-2013;04:01:34;0.000
04-05-2013;05:08:23;0.000
04-05-2013;06:09:36;0.000
04-05-2013;07:33:06;26.715
