DATE;heure;consoHP;consoHC
04-06-2011;00:00:01;0.94;1.04
05-06-2011;00:00:01;0.96;0.67
06-06-2011;00:00:01;0.83;0.89
07-06-2011;00:00:01;1.04;0.73
08-06-2011;00:00:01;0.93;0.86
09-06-2011;00:00:01;0.89;0.74
10-06-2011;00:00:01;1.78;0.84
11-06-2011;00:00:01;1.18;1.05
12-06-2011;00:00:01;1.36;1.22
13-06-2011;00:00:01;1.39;1.02
14-06-2011;00:00:01;0.64;0.72
15-06-2011;00:00:01;0.66;0.72
16-06-2011;00:00:01;0.5;0.95
17-06-2011;00:00:01;0.77;0.67
18-06-2011;00:00:01;1.05;0.76
19-06-2011;00:00:01;0.81;0.6
20-06-2011;00:00:01;0.73;0.65
21-06-2011;00:00:01;0.89;0.82
22-06-2011;00:00:01;0.72;0.86
23-06-2011;00:00:01;0.61;0.61
24-06-2011;00:00:01;0.63;0.57
25-06-2011;00:00:01;1.08;0.68
30-06-2011;00:00:01;0;0
01-07-2011;00:00:01;0;0
31-07-2011;00:00:01;0;0
01-08-2011;00:00:01;0;0
20-08-2011;00:00:01;0.85;0.63
21-08-2011;00:00:01;0.76;0.59
22-08-2011;00:00:01;0.57;0.53
23-08-2011;00:00:01;0.53;0.61
24-08-2011;00:00:01;0.87;0.69
25-08-2011;00:00:01;0.67;0.64
26-08-2011;00:00:01;0.69;0.73
27-08-2011;00:00:01;0.63;0.64
28-08-2011;00:00:01;1.06;0.81
29-08-2011;00:00:01;0.72;0.78
30-08-2011;00:00:01;0.65;0.73
31-08-2011;00:00:01;0.56;0.68
01-09-2011;00:00:01;0.72;0.53
02-09-2011;00:00:01;0.7;0.6
03-09-2011;00:00:01;1.1;0.64
04-09-2011;00:00:01;1.26;0.72
05-09-2011;00:00:01;0.71;0.71
06-09-2011;00:00:01;0.63;0.69
07-09-2011;00:00:01;0.79;0.58
08-09-2011;00:00:01;0.66;0.55
09-09-2011;00:00:01;0.72;0.61
10-09-2011;00:00:01;0.86;0.68
11-09-2011;00:00:01;0.84;0.67
12-09-2011;00:00:01;0.95;0.76
13-09-2011;00:00:01;0.62;0.71
14-09-2011;00:00:01;0.8;0.64
15-09-2011;00:00:01;0.68;0.57
16-09-2011;00:00:01;0.69;0.62
17-09-2011;00:00:01;0.99;0.65
18-09-2011;00:00:01;1.17;0.76
19-09-2011;00:00:01;0.78;0.82
20-09-2011;00:00:01;1.01;0.59
21-09-2011;00:00:01;0.77;0.63
22-09-2011;00:00:01;0.66;0.61
23-09-2011;00:00:01;0.62;0.59
24-09-2011;00:00:01;1.15;0.66
25-09-2011;00:00:01;0.94;0.7
26-09-2011;00:00:01;0.7;0.64
27-09-2011;00:00:01;0.73;0.71
28-09-2011;00:00:01;0.64;0.61
29-09-2011;00:00:01;0.63;0.63
30-09-2011;00:00:01;0.67;0.55
01-10-2011;00:00:01;0.68;0.72
02-10-2011;00:00:01;1.09;0.66
03-10-2011;00:00:01;0.78;0.82
04-10-2011;00:00:01;0.59;0.56
05-10-2011;00:00:01;0.78;0.64
06-10-2011;00:00:01;0.77;0.63
07-10-2011;00:00:01;0.8;0.68
08-10-2011;00:00:01;1.37;0.78
09-10-2011;00:00:01;1.59;0.74
10-10-2011;00:00:01;0.62;0.84
11-10-2011;00:00:01;0.5;0.61
12-10-2011;00:00:01;0.56;0.64
13-10-2011;00:00:01;0.89;0.59
14-10-2011;00:00:01;1.06;0.63
15-10-2011;00:00:01;1.22;0.68
16-10-2011;00:00:01;1.05;0.82
17-10-2011;00:00:01;0.8;0.63
18-10-2011;00:00:01;0.69;0.62
19-10-2011;00:00:01;0.71;0.57
20-10-2011;00:00:01;0.85;0.67
21-10-2011;00:00:01;1.09;0.57
22-10-2011;00:00:01;1.1;0.76
23-10-2011;00:00:01;1.21;0.77
24-10-2011;00:00:01;1.28;0.79
25-10-2011;00:00:01;0.83;1.04
26-10-2011;00:00:01;0.93;0.96
27-10-2011;00:00:01;0.9;0.71
28-10-2011;00:00:01;0.88;0.63
29-10-2011;00:00:01;1.16;0.62
30-10-2011;00:00:01;1.24;1
31-10-2011;00:00:01;1.04;0.73
